folder,image,predicted_fuel_flow,predicted_diluent_flow,expected_fuel_flow,expected_diluent_flow
S8D1350,DSC_4979.JPG,1652.4640397304538,1047.4749047279693,1350,800
S8D1350,DSC_4980.JPG,1615.1293950107902,1059.1693417907118,1350,800
S8D1350,DSC_4981.JPG,1604.1773037663916,959.8586085403731,1350,800
S8D1350,DSC_4982.JPG,1653.6047994036126,992.3263823871312,1350,800
S8D1350,DSC_4983.JPG,1637.409993262514,1040.565202280457,1350,800
S8D1350,DSC_4984.JPG,1585.043239760933,994.7951852608785,1350,800
S8D1350,DSC_4985.JPG,1579.3423462227765,947.8587928672969,1350,800
S8D1350,DSC_4986.JPG,1534.1715190675877,863.7350770261983,1350,800
S8D1350,DSC_4987.JPG,1550.8372280644562,1050.4175035611552,1350,800
S8D1350,DSC_4988.JPG,1550.227552860144,1012.2310402126059,1350,800
S8D1350,DSC_4989.JPG,1647.3371971607376,1036.3176758249356,1350,800
S8D1350,DSC_4990.JPG,1595.3987364359018,931.1464506651046,1350,800
S8D1350,DSC_4991.JPG,1570.3018097740678,1008.1221569189656,1350,800
S8D1350,DSC_4992.JPG,1555.7256252735078,1037.1011233315003,1350,800
S8D1350,DSC_4993.JPG,1627.8643197623824,1042.2046463055085,1350,800
S8D1350,DSC_4994.JPG,1656.3246625867214,1062.3834539373129,1350,800
S9D1150,DSC_5154.JPG,1608.2864052223413,1234.1490581299877,1150,900
S9D1150,DSC_5155.JPG,1608.8788118500852,1164.2470850940153,1150,900
S9D1150,DSC_5156.JPG,1620.742876404398,1191.132767046016,1150,900
S9D1150,DSC_5157.JPG,1588.7350261936626,1202.6050568523278,1150,900
S9D1150,DSC_5158.JPG,1607.979188512887,1197.231020613941,1150,900
S9D1150,DSC_5159.JPG,1601.50450591942,1254.4062332408357,1150,900
S9D1150,DSC_5160.JPG,1607.2047400795236,1257.5998443821882,1150,900
S9D1150,DSC_5161.JPG,1590.6297935805524,1216.2779091067277,1150,900
S9D1150,DSC_5162.JPG,1631.818467375957,1217.7097520431525,1150,900
